"primary_block","subgroup","display_order","section_anchor","method","cite_keys","venue","year","chronology_month","chronology_basis","backbone","wm_architecture","params_total","params_trainable","role_tags","input_modalities","feedback_modalities","state_representation","prediction_target","control_variables","intervention_variables","training_strategy","objective_algorithm","training_data","training_data_type","training_scale_value","training_scale_unit","applications","benchmarks","evaluation_type","verified_from_primary","evidence_note","venue","chronology_month","chronology_basis"
"action_coupled","Driving World Models","9","Driving World Models","GAIA-2","russell2025gaia2","arXiv","2025","2025-03","arXiv v1 month","video tokenizer + diffusion model","latent diffusion world model","NR","NR","TI-G;SS-G;AC-D","V; T","NR","multi-view visual state","future multi-view V","ego Traj.","alternative Traj.","driving-video predictive learning","structured multi-view latent diffusion","Wayve driving data","real driving","NR","NR","driving simulation; safety testing","Wayve driving scenarios","custom protocol","true","Primary Wayve report verifies a latent-diffusion world model conditioned on ego dynamics, agent configurations, road semantics, and environmental factors for multi-camera generation.","arXiv","2025-03","arXiv v1 month"
"action_coupled","Driving World Models","10","Driving World Models","OmniDreams","nvidia2026omnidreams","arXiv","2026","2026-06","arXiv v1 month","Cosmos causal transformer","autoregressive diffusion transformer","NR","NR","TI-I;TI-G;TI-M;AC-D","V; T","R","multi-view visual state","future multi-view V","ego Traj.","alternative Traj.","driving-world post-training","step-wise world generation + closed-loop simulation","21K-hour driving data","real + synthetic driving","NR","NR","closed-loop driving simulation; policy evaluation","NuRec; AlpaSim","named + custom","true","Primary NVIDIA report verifies a Cosmos-derived causal Transformer with few-step denoising that autoregressively returns multi-camera observations in a policy-in-the-loop simulator.","arXiv","2026-06","arXiv v1 month"
"action_coupled","Driving World Models","11","Driving World Models","Waabi World","waabi2022world","Waabi","2022","2022-02","official release month","neural rendering + physics simulation","hybrid neural simulator","N/A","N/A","SS-G;SS-P;SS-E;AC-D","I; L; P","R","multi-sensor state","future sensors","A; state","PhyPar","closed-loop neural simulation","digital-twin reconstruction + sensor simulation","Waabi driving logs","real driving","N/A","N/A","closed-loop driving training; safety testing","proprietary driving scenarios","product protocol","true","Waabi's primary technical description verifies data-driven digital twins, hybrid neural/physics sensor simulation, reactive traffic-state updates, and policy-in-the-loop training.","Waabi","2022-02","official release month"
"action_coupled","Tool-Mediated Worlds and Software State Models","16","Tool-Mediated Worlds and Software State Models","Qwen-AgentWorld","arxiv260624597","arXiv","2026","2026-06","technical-report release month","Qwen MoE language model","language world model","NR","NR","TI-I;TI-G;SS-E;AC-T","T; E","tool output","Ext","next web state/outcome","Tool","alternative Tool","CPT + SFT + RL","reasoned next-state prediction","10M interaction trajectories","real agent environments","NR","NR","agent-environment simulation; agent training","Web; OS; Android; Terminal; SWE; MCP","named benchmark suite","true","Primary report verifies reasoned next-state simulation from observation-action trajectories and use as a controllable environment model for agentic RL; it does not claim persistent memory as its defining mechanism.","arXiv","2026-06","technical-report release month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","2","Interactive Visual Worlds and Game Simulators","PlaNet","hafner2019planet","ICML","2019","2019-06","formal conference month","CNN encoder/decoder","RSSM","NR","NR","TI-I;TI-G;TI-M;AC-R","I","R","Lat","I; R; continuation","A","alternative A","online model-based RL","latent dynamics learning + CEM planning","DeepMind Control Suite","sim","NR","NR","visual control; planning","DeepMind Control Suite","named benchmarks","true","Primary ICML paper verifies pixel observations as model context and candidate action sequences as the CEM planning/control interface in latent space.","ICML","2019-06","formal conference month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","2","Interactive Visual Worlds and Game Simulators","DreamerV2","hafner2020dreamerv2","ICLR","2021","2021-05","formal conference month","CNN encoder/decoder","discrete RSSM","NR","NR","TI-I;TI-G;TI-M;AC-R","I","R","Lat","I; R; continuation","A","alternative A","online model-based RL","discrete world prediction + actor-critic in imagination","Atari interaction","sim","NR","NR","game control","Atari 100K","named benchmarks","true","Primary ICLR paper verifies image observations as context, actions as the RSSM transition/control variable, and rewards as predicted feedback on Atari.","ICLR","2021-05","formal conference month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","3","Interactive Visual Worlds and Game Simulators","MuZero","schrittwieser2020muzero","Nature","2020","2020-12","journal publication month","representation + dynamics networks","recurrent latent dynamics","NR","NR","TI-I;TI-G;TI-M","I","R","latent game state","next Lat; R; value; policy","A","alternative A","online model-based RL","latent dynamics + MCTS","Atari; Go; Chess; Shogi","sim","NR","NR","game playing; planning","Atari; Go; Chess; Shogi","named benchmarks","true","Primary Nature paper verifies observations encoded into latent state and candidate actions expanded by learned dynamics during MCTS; action is therefore Control rather than observational Input.","Nature","2020-12","journal publication month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","5","Interactive Visual Worlds and Game Simulators","IRIS","micheli2023iris","ICLR","2023","2023-05","formal conference month","discrete autoencoder + transformer","autoregressive transformer","NR","NR","TI-I;TI-G","I","R","discrete visual tokens","next I; R","A","alternative A","online model-based RL","next-token world prediction + actor-critic","Atari interaction","sim","NR","NR","game simulation; control","Atari 100K","named benchmarks","true","Primary ICLR paper verifies visual-token history as context and actions as the controllable transition input to the autoregressive world model.","ICLR","2023-05","formal conference month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","5","Interactive Visual Worlds and Game Simulators","DIAMOND","alonso2024diamond","NeurIPS","2024","2024-12","formal conference month","diffusion model","diffusion world model","NR","NR","TI-I;TI-G","I","R","frame history","next I; R","A","alternative A","online model-based RL","diffusion world prediction + actor-critic","Atari interaction; CS:GO","sim gameplay","NR","NR","game simulation; control","Atari 100K; CS:GO","named + custom","true","Primary NeurIPS paper verifies recent visual observations as context and actions as the environment-model conditioning/control signal.","NeurIPS","2024-12","formal conference month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","6","Interactive Visual Worlds and Game Simulators","Dreamer 4","hafner2025dreamer4","arXiv","2025","2025-09","arXiv v1 month","video tokenizer + transformer","autoregressive transformer","NR","NR","TI-I;TI-G","V","R","discrete visual tokens","next I; R","A","alternative A","offline model-based RL","autoregressive video prediction + imagination learning","Minecraft video","gameplay video","NR","NR","interactive world simulation; control","Minecraft diamond task","custom task","true","Primary paper verifies video context as Input and mouse/keyboard action conditioning as Control; most world knowledge is learned from action-free video with limited action-labeled data.","arXiv","2025-09","arXiv v1 month"
"action_coupled","Robot World Models and World-Action Models","6","Robot World Models and World-Action Models","DreamZero","dreamzero2026","ICLR W.","2026","2026-04","formal workshop month","pretrained video diffusion","joint world-action model","NR","NR","TI-G;AC-V;AC-R","I; T","NR","video latent","future V; A","T; A","alternative A","video-prior adaptation","joint future-state/action prediction","robot video and demonstrations","real robot","NR","NR","zero-shot robot control","cross-task robot evaluation","custom protocol","true","Primary paper verifies current visual observations and task language as context, with the joint video-action model producing/executing action sequences; Control records the text-conditioned action interface.","ICLR W.","2026-04","formal workshop month"
"action_coupled","Driving World Models","1","Driving World Models","MILE","mile2022","NeurIPS","2022","2022-12","formal conference month","camera encoder/decoder","latent driving dynamics + policy","NR","NR","TI-I;TI-G;TI-M;SS-G;AC-D","I","R","Lat; BEV-like","future Lat; I; A","A","alternative A","offline imitation learning","variational world loss + imitation policy","CARLA rollouts","sim driving","NR","NR","autonomous driving","CARLA","named simulator","true","Primary NeurIPS paper verifies camera-only observations as Input and imagined/predicted driving actions as the control interface; BEV is a decoded target, not an input modality.","NeurIPS","2022-12","formal conference month"
"action_coupled","Driving World Models","2","Driving World Models","TrafficBots","trafficbots2023","ICRA","2023","2023-05","formal conference month","agent-centric transformer","configurable multi-agent transformer","NR","NR","TI-I;TI-G;SS-P;SS-E;AC-D","agent states; map","NR","Ent; Graph","agent trajectories","ego / agent A","agent goals / behaviors","supervised sequence modeling","multi-agent trajectory likelihood","Waymo Open Motion","real driving","NR","NR","traffic simulation; planning","Waymo Open Motion","named dataset","true","Primary ICRA paper verifies vectorized agent/map context as Input and per-agent destinations plus latent behavioral personalities as configurable Control.","ICRA","2023-05","formal conference month"
"action_coupled","Driving World Models","3","Driving World Models","Drive-WM","drivewm2023","CVPR","2024","2024-06","formal conference month","multi-view video encoder","trajectory-conditioned driving WM","NR","NR","TI-I;TI-G;SS-G;AC-D","multi-view I","R","multi-view visual state","future multi-view V","ego Traj.","alternative Traj.","driving-video predictive learning","multi-view diffusion + image reward","nuScenes","real driving","NR","NR","trajectory planning; simulation","nuScenes","named dataset","true","Primary CVPR paper verifies multi-view visual history as Input and distinct candidate driving maneuvers/trajectories as Control for branching futures and image-based selection.","CVPR","2024-06","formal conference month"
"action_coupled","Driving World Models","4","Driving World Models","Vista","vista2024","NeurIPS","2024","2024-12","formal conference month","video diffusion model","controllable driving simulator","NR","NR","TI-G;AC-D","V; P","NR","visual history","future V","command; goal; Traj.; steering; speed","alternative control","driving-video predictive learning","conditional future-video diffusion","OpenDV-YouTube; nuScenes","real driving","NR","NR","driving simulation; action evaluation","OpenDV-YouTube; nuScenes","named + custom","true","Primary NeurIPS paper verifies historical video/pose context and a versatile Control interface spanning command, goal point, trajectory, steering angle, and speed.","NeurIPS","2024-12","formal conference month"
"action_coupled","Navigation, Spatial Memory, and Long-Horizon Feedback","1","Navigation, Spatial Memory, and Long-Horizon Feedback","Pathdreamer","pathdreamer2021","ICCV","2021","2021-10","formal conference month","panoramic encoder + GAN","autoregressive navigation WM","NR","NR","TI-I;TI-G;SS-G;AC-N","I; D; P","NR","panoramic RGB-D / semantic","unvisited views","A; pose","alternative path","navigation predictive learning","RGB / semantic / depth generation","Matterport3D trajectories","real indoor scans","NR","NR","look-ahead navigation","Matterport3D; VLN","named tasks","true","Primary paper verifies previous panoramic observations and viewpoint/pose history as Input; unvisited viewpoints along candidate trajectories form the trajectory Control, not an extra action observation.","ICCV","2021-10","formal conference month"
"action_coupled","Navigation, Spatial Memory, and Long-Horizon Feedback","2","Navigation, Spatial Memory, and Long-Horizon Feedback","NWM","nwm2025","CVPR","2025","2025-06","formal conference month","video diffusion model","action-conditioned navigation WM","NR","NR","TI-I;TI-G;AC-N","I","NR","egocentric visual history","future V","navigation A","alternative trajectory","navigation predictive learning","action-conditioned video prediction","egocentric navigation trajectories","real + sim","NR","NR","trajectory ranking; navigation","navigation tasks","named + custom","true","Primary CVPR paper explicitly defines past visual observations as Input and navigation actions/candidate trajectories as Control for future-observation simulation.","CVPR","2025-06","formal conference month"
"action_coupled","Navigation, Spatial Memory, and Long-Horizon Feedback","3","Navigation, Spatial Memory, and Long-Horizon Feedback","NavWAM","navwam2026","arXiv","2026","2026-06","arXiv v1 month","vision-language backbone","navigation world-action model","NR","NR","TI-G;AC-N","I","Val","Lat task state","future I; Val; action chunk","Goal; A","alternative A","joint navigation training","world prediction + goal progress + action loss","navigation trajectories","real + sim","NR","NR","goal-conditioned navigation","custom navigation suite","custom protocol","true","Primary paper verifies current and image-goal observations as Input and executable action chunks as the goal-conditioned actuation interface; it does not use language instructions.","arXiv","2026-06","arXiv v1 month"
"action_coupled","Tool-Mediated Worlds and Software State Models","1","Tool-Mediated Worlds and Software State Models","WebDreamer","webdreamer2025","TMLR","2025","2025-10","journal publication month","LLM","textual web-outcome world model","NR","NR","TI-I;TI-G;SS-E;AC-T","DOM; T; E","tool output","Ext","next web state/outcome","Tool","alternative Tool","test-time model-based planning","candidate-action outcome prediction + ranking","N/A","N/A","N/A","N/A","web agent planning","VisualWebArena; Mind2Web","named benchmarks","true","Primary TMLR paper verifies the current web observation/task context as Input and candidate web actions as Tool Control whose outcomes are simulated before execution.","TMLR","2025-10","journal publication month"
"action_coupled","Tool-Mediated Worlds and Software State Models","15","Tool-Mediated Worlds and Software State Models","CWM","cwm2025","arXiv","2025","2025-09","technical-report release month","code LLM","autoregressive code-world model","NR","NR","TI-I;TI-G;SS-E;AC-T","code; files; E; Tool","execution / test output","Ext","next code / file / execution state","Tool","alternative edit / command","continued pretraining / agent use","next-state / code prediction","code; execution trajectories","software traces","NR","NR","coding agent; software reasoning","SWE-bench-style and custom tests","named + custom","true","Primary paper verifies code/file/execution context as Input and edits, interpreter calls, and shell/tool operations as Tool Control in step-by-step software-state simulation.","arXiv","2025-09","technical-report release month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","4","Interactive Visual Worlds and Game Simulators","TransDreamer","chen2021transdreamer","NeurIPS W.","2021","2021-12","formal workshop month","Transformer State-Space Model","transformer state-space model","NR","NR","TI-I;TI-G;TI-M;AC-R","I","R","Lat","I; R; continuation","A","alternative A","online model-based RL","transformer latent dynamics + actor-critic","Hidden Order Discovery; DMC; Atari","sim","NR","NR","memory-based visual control","Hidden Order Discovery; DMC; Atari","named + custom","true","Primary paper verifies the action-conditioned Transformer State-Space Model, imagined actor-critic learning, future-frame/reward prediction, and long-memory visual-control evaluations.","NeurIPS W.","2021-12","formal workshop month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","6","Interactive Visual Worlds and Game Simulators","TWM","robine2023transformerwm","ICLR","2023","2023-05","formal conference month","CNN VAE + Transformer-XL","Transformer-XL world model","NR","NR","TI-I;TI-G;TI-M","I","R","latent game state","next Lat; R; value; policy","A","alternative A","online model-based RL","autoregressive latent/reward prediction + actor-critic","Atari interaction","sim","NR","NR","game simulation; control","Atari 100K","named benchmark","true","Primary ICLR paper verifies autoregressive Transformer-XL modeling of latent states, actions, and rewards and policy learning from generated Atari experience.","ICLR","2023-05","formal conference month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","7","Interactive Visual Worlds and Game Simulators","STORM","zhang2023storm","NeurIPS","2023","2023-12","formal conference month","categorical VAE + Transformer","stochastic transformer world model","NR","NR","TI-I;TI-G","I","R","latent game state","next Lat; R; value; policy","A","alternative A","online model-based RL","stochastic latent prediction + actor-critic","Atari interaction","sim","NR","NR","game simulation; control","Atari 100K","named benchmark","true","Primary NeurIPS paper verifies stochastic Transformer latent dynamics, observation/reward/continuation prediction, and imagined actor-critic learning on Atari 100K.","NeurIPS","2023-12","formal conference month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","8","Interactive Visual Worlds and Game Simulators","MineWorld","arxiv250408388","arXiv","2025","2025-04","arXiv v1 month","visual/action tokenizers + Transformer","visual-action autoregressive transformer","NR","NR","TI-I;TI-G;AC-T","I","NR","discrete visual tokens","I","keyboard/mouse A","alternative A","predictive world-model learning","interleaved visual-action next-token prediction","VPT Minecraft gameplay","gameplay video","NR","NR","interactive game simulation","Minecraft; action following","custom suite","true","Primary paper verifies interleaved visual/action tokens, autoregressive next-token learning, keyboard/mouse control, VPT training data, and real-time Minecraft generation.","arXiv","2025-04","arXiv v1 month"
"temporal_imaginative","Large-Scale Video Worlds and Foundation Generative Simulators","1","Large-Scale Video Worlds and Foundation Generative Simulators","Cosmos","arxiv250103575","arXiv","2025","2025-01","technical-report release month","diffusion/AR Transformers + video tokenizers","autoregressive/diffusion WFM","NR","NR","TI-I;TI-G;AC-R;AC-D;AC-N","V; I; T","NR","visual tokens","V","T; I; V","NR","world-model pretraining + domain post-training","autoregressive/diffusion world prediction","large-scale video; Physical AI data","real + synthetic","NR","NR","Physical AI simulation; robotics; driving","camera control; robot manipulation; autonomous driving","custom suite","true","Primary NVIDIA report verifies continuous-token diffusion and discrete-token autoregressive WFMs, large-scale video pretraining, and post-training for camera control, robotics, and driving.","arXiv","2025-01","technical-report release month"
"temporal_imaginative","Latent-State Interfaces for Multimodal Reasoning","1","Latent-State Interfaces for Multimodal Reasoning","WorldGPT","arxiv240418202","ACM MM","2024","2024-10","formal conference month","Vicuna-7B + LanguageBind","multimodal LLM world model","NR","NR","TI-G;TI-M","I; V; T; Au","NR","multimodal state embeddings","next multimodal state","natural-language A","alternative A","progressive multimodal state-transition learning","any-to-any state-transition prediction + memory/reflection","WorldNet-Wild","internet video","NR","NR","multimodal state prediction; agent data synthesis","WorldNet","named benchmark","true","Primary ACM MM paper verifies any-to-any multimodal state-transition prediction, natural-language action conditioning, WorldNet-Wild training, and memory/retrieval/reflection modules.","ACM MM","2024-10","formal conference month"
"temporal_imaginative","Latent-State Interfaces for Multimodal Reasoning","2","Latent-State Interfaces for Multimodal Reasoning","Latent Visual States","liu2026latentvisualstates","arXiv","2026","2026-06","arXiv v1 month","Qwen2.5-VL + visual encoder","autoregressive MLLM with latent slots","NR","NR","TI-G","I; T","NR","latent visual thought tokens","answer","None","None","supervised latent-slot learning + D-GSPO","latent-slot reasoning + D-GSPO","EVA-230K","multimodal reasoning data","NR","NR","multimodal reasoning","multimodal reasoning suites","named benchmarks","true","Primary paper verifies adaptive continuous Latent_slot tokens as intermediate visual thoughts, EVA-230K supervision, and D-GSPO reinforcement learning for multimodal reasoning.","arXiv","2026-06","arXiv v1 month"
"temporal_imaginative","Latent-State Interfaces for Multimodal Reasoning","3","Latent-State Interfaces for Multimodal Reasoning","DLWM","huang2026dlwm","arXiv","2026","2026-06","arXiv v1 month","ViT-L/14 + Transformer decoder","transformer latent reasoning model","NR","NR","TI-I;TI-G","I; T","NR","diverse latent world hypotheses","answer","None","None","supervised latent reasoning + resource-aware RL","diverse latent hypotheses + resource-aware RL","GQA; VQAv2; MMVP; ScienceQA","multimodal reasoning data","NR","NR","multimodal reasoning under ambiguity","GQA; VQAv2; MMVP; ScienceQA","named benchmarks","true","Primary paper verifies multiple continuous latent world hypotheses, parallel latent rollouts, and a resource-aware RL controller that expands, stops, merges, or answers under a compute budget.","arXiv","2026-06","arXiv v1 month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","0","Interactive Visual Worlds and Game Simulators","Visual Foresight","ebert2018visualforesight","arXiv","2018","2018-12","arXiv v1 month","convolutional video prediction network","stochastic video prediction model","NR","NR","TI-I;TI-G;AC-R","I","NR","frame history","next I","A","alternative A","self-supervised predictive learning + MPC","action-conditioned video prediction + visual MPC","autonomous robot interaction video","real robot","NR","NR","robot manipulation; visual planning","real-robot manipulation tasks","custom tasks","true","The primary paper verifies action-conditioned future-image prediction from robot interactions and visual MPC for goal-image, designated-pixel, and classifier-specified manipulation tasks.","arXiv","2018-12","arXiv v1 month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","5","Interactive Visual Worlds and Game Simulators","Masked World Models","seo2023maskedwm","CoRL","2022","2022-12","formal conference month","masked convolutional autoencoder + ViT + RSSM","RSSM","NR","NR","TI-I;TI-G;AC-R","I","R","task Lat","next Lat; R; value; policy","A","alternative A","online model-based RL","masked reconstruction + latent dynamics + reward prediction + actor-critic","Meta-World; RLBench interaction","sim","NR","NR","visual robotic control","Meta-World; RLBench","named benchmarks","true","The CoRL paper verifies masked visual representation learning, a separate latent dynamics model, auxiliary reward prediction, online interaction, and visual-control evaluation on Meta-World and RLBench.","CoRL","2022-12","formal conference month"
"action_coupled","Driving World Models","3","Driving World Models","Think2Drive","think2drive2024","ECCV","2024","2024-09","formal conference month","compact encoder + recurrent latent dynamics + actor-critic","latent driving dynamics + policy","NR","NR","TI-I;TI-G;SS-G;AC-D","state","R","task Lat","next Lat; R; value; policy","A","alternative A","online model-based RL","latent dynamics + imagined actor-critic","CARLA Leaderboard v2 interaction","sim","NR","NR","autonomous driving; planner training","CARLA Leaderboard v2","named benchmark","true","The ECCV paper verifies a compact latent world model that learns CARLA environment transitions and serves as a neural simulator for reinforcement-learning-based planner training.","ECCV","2024-09","formal conference month"
